"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1918349857137541247","Fri May 02 17:00:21 +0000 2025","0","Yang duluan pindah ke IKN : PNS PSK","1918349857137541247","","","in","","0","0","0","https://x.com/ibrahim34677325/status/1918349857137541247","1467076852011323392","ibrahim34677325"
"1918299849604374956","Fri May 02 16:56:06 +0000 2025","0","@iwanfals Ke hambalang aja dulu nanti mampir belok lihat ke ikn lalu jangan lupa lempeng aja smp ketemu food estate...oiya jgn lupa lihat lihat program mercusuar lainnya yaah.","1918348784263938361","","iwanfals","in","penajam","0","0","0","https://x.com/Mas_Berto77/status/1918348784263938361","1675529199271178241","Mas_Berto77"
"1918174703535182297","Fri May 02 16:42:40 +0000 2025","0","@CutSarina5 IKN menurut gw adalah fyre festival punya indonesia. Rakyat disuruh bayar mahal dengan pajak rakyat diiming2i image kota maju &amp; green city yg sbnrnya nothingburger pas dibangun overclaim terakhir fasilitasnya rusak/dikembalikan satu2. Wkwkw","1918345407232655691","","CutSarina5","in","area kuning ","0","0","0","https://x.com/cryogenip/status/1918345407232655691","742875331309142016","cryogenip"
"1918325482246029377","Fri May 02 16:38:36 +0000 2025","58","@cobeh2022 Masih ragu dgn keluguan serta kesederhanaannya Mulyono??? Fakta Pembohong : Mobil ESMKA sdh di inden 6000 unit. 11.000 T dana dikantong di kantong dia. 150 Investor asing yg membangun IKN (tanpa dana APBN. dan masih banyak lagi bokisnya","1918344382656446566","","cobeh2022","in","Arus Bawah","0","0","5","https://x.com/GantineRamane/status/1918344382656446566","1603579827319361536","GantineRamane"
"1918250357664489805","Fri May 02 16:26:48 +0000 2025","0","@Tan_Mar3M Di ikn tan","1918341412447502415","","Tan_Mar3M","in","","0","0","0","https://x.com/pedulisehat/status/1918341412447502415","56632856","pedulisehat"
"1918325482246029377","Fri May 02 16:26:28 +0000 2025","0","@MasFurqon15 @cobeh2022 yg ada di map adalah Daftar 11000 Trilyun dana yg ada dikantongnya serta 150 Investor yg membangun IKN dan list inden mobil ESEMKA","1918341328955686915","","MasFurqon15","in","Arus Bawah","0","0","0","https://x.com/GantineRamane/status/1918341328955686915","1603579827319361536","GantineRamane"
"1918235823369285942","Fri May 02 16:20:34 +0000 2025","0","@gorduser @ErickFernandoW @AristiaVd Buat apa memenuhi kebutuhan rakyat kalau ku bisa memuaskan ego ku . Itu yg ada di kepala Mulyono saat membangun IKN","1918339845006737613","","gorduser","in","","0","0","0","https://x.com/simpelkajila/status/1918339845006737613","1727392307912359936","simpelkajila"
"1918237018427146430","Fri May 02 16:18:17 +0000 2025","1","@its_Rosalin Lagi asyik mimpi nanti aja bangun","1918339270903054485","","its_Rosalin","in","","0","0","0","https://x.com/Muhamma70893310/status/1918339270903054485","1519307015721349121","Muhamma70893310"
"1918293583079395588","Fri May 02 16:14:30 +0000 2025","1","@RaniKancana @elonmusk Yang benar kalau mau banyak duit mesti banyak tuyul","1918338319240577057","","RaniKancana","in","","0","0","0","https://x.com/Muhamma70893310/status/1918338319240577057","1519307015721349121","Muhamma70893310"
"1918338008153260396","Fri May 02 16:13:16 +0000 2025","1","Proyek Bandara IKN Tuntas Operasional Masih Menunggu Kapan nih pak @prabowo https://t.co/i12f7UI3Lv","1918338008153260396","","","in","","0","0","1","https://x.com/jari_droid/status/1918338008153260396","1486631613932834819","jari_droid"
"1918337322762027254","Fri May 02 16:10:33 +0000 2025","1","Ternyata selama ini BIN sudah berkantor di IKN selama satu tahun menggunakan kantor modular sementara BIN. Kantor modular tersebut akan dipindahkan ke lokasi bangunan permanen mulai tg 1 Juni 2025. Segera disusul kemendagri dan lainnya. Bravo @prabowo https://t.co/NkSfrYQCO2","1918337322762027254","","","in","","0","0","1","https://x.com/jari_droid/status/1918337322762027254","1486631613932834819","jari_droid"
"1918335670407577970","Fri May 02 16:04:59 +0000 2025","0","mau ikut ke kalimantan mau liat progress IKN plis","1918335920627171611","","astronoutei","in","","0","0","0","https://x.com/astronoutei/status/1918335920627171611","1732070813753634816","astronoutei"
"1918114464274296851","Fri May 02 16:03:03 +0000 2025","0","@geloraco Negara udah gk pya uang kas utk bayar sewanya per bulan. Lagian tuh di sewa cuman buat pajangan keren kerenan utk narik infestor doang. Jgnkn infestor sekelas celeng hutan aja enggan masuk area IKN buatan firaun solo itu.","1918335434033381764","","geloraco","in","","0","0","0","https://x.com/ariyanto50852/status/1918335434033381764","1752586359209144320","ariyanto50852"
"1918335226549551460","Fri May 02 16:02:13 +0000 2025","1","Otorita Mau Percepat Pembangunan Sektor Pendidikan di IKN Sebelum ASN Pindah https://t.co/37VgiCBkYu","1918335226549551460","","","in","Jakarta, Indonesia","0","1","0","https://x.com/detikfinance/status/1918335226549551460","135795460","detikfinance"
"1918335157301375087","Fri May 02 16:01:57 +0000 2025","2","Pegawai BIN Mulai Pindah ke IKN Juni 2025 Hunian dan Kantor Siap Digunakan https://t.co/94aMIAy8L2","1918335157301375087","","","in","","0","0","1","https://x.com/jari_droid/status/1918335157301375087","1486631613932834819","jari_droid"
